allocation_date,warehouse_id,sku_id,available_units
2024-01-01,WH_STORE_1,SKU_01,223
2024-01-01,WH_STORE_1,SKU_02,217
2024-01-01,WH_STORE_1,SKU_03,69
2024-01-01,WH_STORE_1,SKU_04,338
2024-01-01,WH_STORE_1,SKU_05,471
2024-01-01,WH_STORE_1,SKU_06,305
2024-01-01,WH_STORE_1,SKU_07,256
2024-01-01,WH_STORE_1,SKU_08,315
2024-01-01,WH_STORE_1,SKU_09,167
2024-01-01,WH_STORE_1,SKU_10,167
2024-01-01,WH_STORE_2,SKU_01,415
2024-01-01,WH_STORE_2,SKU_02,364
2024-01-01,WH_STORE_2,SKU_03,372
2024-01-01,WH_STORE_2,SKU_04,133
2024-01-01,WH_STORE_2,SKU_05,464
2024-01-01,WH_STORE_2,SKU_06,160
2024-01-01,WH_STORE_2,SKU_07,53
2024-01-01,WH_STORE_2,SKU_08,218
2024-01-01,WH_STORE_2,SKU_09,62
2024-01-01,WH_STORE_2,SKU_10,419
2024-01-01,WH_STORE_3,SKU_01,138
2024-01-01,WH_STORE_3,SKU_02,388
2024-01-01,WH_STORE_3,SKU_03,112
2024-01-01,WH_STORE_3,SKU_04,415
2024-01-01,WH_STORE_3,SKU_05,411
2024-01-01,WH_STORE_3,SKU_06,451
2024-01-01,WH_STORE_3,SKU_07,108
2024-01-01,WH_STORE_3,SKU_08,103
2024-01-01,WH_STORE_3,SKU_09,496
2024-01-01,WH_STORE_3,SKU_10,413
2024-01-01,WH_STORE_4,SKU_01,497
2024-01-01,WH_STORE_4,SKU_02,181
2024-01-01,WH_STORE_4,SKU_03,419
2024-01-01,WH_STORE_4,SKU_04,105
2024-01-01,WH_STORE_4,SKU_05,217
2024-01-01,WH_STORE_4,SKU_06,364
2024-01-01,WH_STORE_4,SKU_07,134
2024-01-01,WH_STORE_4,SKU_08,390
2024-01-01,WH_STORE_4,SKU_09,115
2024-01-01,WH_STORE_4,SKU_10,382
2024-01-01,WH_STORE_5,SKU_01,300
2024-01-01,WH_STORE_5,SKU_02,253
2024-01-01,WH_STORE_5,SKU_03,98
2024-01-01,WH_STORE_5,SKU_04,158
2024-01-01,WH_STORE_5,SKU_05,372
2024-01-01,WH_STORE_5,SKU_06,491
2024-01-01,WH_STORE_5,SKU_07,59
2024-01-01,WH_STORE_5,SKU_08,409
2024-01-01,WH_STORE_5,SKU_09,319
2024-01-01,WH_STORE_5,SKU_10,308
