date,store_id,sku_id,is_promo,promo_multiplier,promo_type
2022-01-01,STORE_1,SKU_01,0,1.0,None
2022-01-02,STORE_1,SKU_01,0,1.0,None
2022-01-03,STORE_1,SKU_01,0,1.0,None
2022-01-04,STORE_1,SKU_01,1,1.15,15% Off Circular Feature
2022-01-05,STORE_1,SKU_01,1,1.2,20% Off Major Event
2022-01-06,STORE_1,SKU_01,0,1.0,None
2022-01-07,STORE_1,SKU_01,1,1.1,10% Off Category Feature
2022-01-08,STORE_1,SKU_01,1,1.2,20% Off Major Event
2022-01-09,STORE_1,SKU_01,1,1.0,None
2022-01-10,STORE_1,SKU_01,1,1.05,5% Off Weekly Special
2022-01-11,STORE_1,SKU_01,1,1.05,5% Off Weekly Special
2022-01-12,STORE_1,SKU_01,0,1.0,None
2022-01-13,STORE_1,SKU_01,1,1.15,15% Off Circular Feature
2022-01-14,STORE_1,SKU_01,0,1.0,None
2022-01-15,STORE_1,SKU_01,1,1.1,10% Off Category Feature
2022-01-16,STORE_1,SKU_01,0,1.0,None
2022-01-17,STORE_1,SKU_01,1,1.0,None
2022-01-18,STORE_1,SKU_01,0,1.0,None
2022-01-19,STORE_1,SKU_01,0,1.0,None
2022-01-20,STORE_1,SKU_01,0,1.0,None
2022-01-21,STORE_1,SKU_01,1,1.15,15% Off Circular Feature
2022-01-22,STORE_1,SKU_01,1,1.0,None
2022-01-23,STORE_1,SKU_01,0,1.0,None
2022-01-24,STORE_1,SKU_01,1,1.15,15% Off Circular Feature
2022-01-25,STORE_1,SKU_01,1,1.15,15% Off Circular Feature
2022-01-26,STORE_1,SKU_01,1,1.05,5% Off Weekly Special
2022-01-27,STORE_1,SKU_01,0,1.0,None
2022-01-28,STORE_1,SKU_01,1,1.2,20% Off Major Event
2022-01-29,STORE_1,SKU_01,1,1.15,15% Off Circular Feature
2022-01-30,STORE_1,SKU_01,0,1.0,None
2022-01-31,STORE_1,SKU_01,1,1.0,None
2022-02-01,STORE_1,SKU_01,0,1.0,None
2022-02-02,STORE_1,SKU_01,0,1.0,None
2022-02-03,STORE_1,SKU_01,1,1.2,20% Off Major Event
2022-02-04,STORE_1,SKU_01,0,1.0,None
2022-02-05,STORE_1,SKU_01,0,1.0,None
2022-02-06,STORE_1,SKU_01,1,1.05,5% Off Weekly Special
2022-02-07,STORE_1,SKU_01,0,1.0,None
2022-02-08,STORE_1,SKU_01,0,1.0,None
2022-02-09,STORE_1,SKU_01,0,1.0,None
2022-02-10,STORE_1,SKU_01,0,1.0,None
2022-02-11,STORE_1,SKU_01,0,1.0,None
2022-02-12,STORE_1,SKU_01,1,1.15,15% Off Circular Feature
2022-02-13,STORE_1,SKU_01,0,1.0,None
2022-02-14,STORE_1,SKU_01,1,1.1,10% Off Category Feature
2022-02-15,STORE_1,SKU_01,0,1.0,None
2022-02-16,STORE_1,SKU_01,1,1.1,10% Off Category Feature
2022-02-17,STORE_1,SKU_01,1,1.05,5% Off Weekly Special
2022-02-18,STORE_1,SKU_01,0,1.0,None
2022-02-19,STORE_1,SKU_01,1,1.0,None
2022-02-20,STORE_1,SKU_01,0,1.0,None
2022-02-21,STORE_1,SKU_01,0,1.0,None
2022-02-22,STORE_1,SKU_01,1,1.15,15% Off Circular Feature
2022-02-23,STORE_1,SKU_01,0,1.0,None
2022-02-24,STORE_1,SKU_01,1,1.1,10% Off Category Feature
2022-02-25,STORE_1,SKU_01,1,1.2,20% Off Major Event
2022-02-26,STORE_1,SKU_01,0,1.0,None
2022-02-27,STORE_1,SKU_01,1,1.1,10% Off Category Feature
2022-02-28,STORE_1,SKU_01,1,1.1,10% Off Category Feature
2022-03-01,STORE_1,SKU_01,0,1.0,None
2022-03-02,STORE_1,SKU_01,1,1.15,15% Off Circular Feature
2022-03-03,STORE_1,SKU_01,1,1.0,None
2022-03-04,STORE_1,SKU_01,0,1.0,None
2022-03-05,STORE_1,SKU_01,0,1.0,None
2022-03-06,STORE_1,SKU_01,1,1.1,10% Off Category Feature
2022-03-07,STORE_1,SKU_01,0,1.0,None
2022-03-08,STORE_1,SKU_01,1,1.2,20% Off Major Event
2022-03-09,STORE_1,SKU_01,0,1.0,None
2022-03-10,STORE_1,SKU_01,1,1.1,10% Off Category Feature
2022-03-11,STORE_1,SKU_01,1,1.1,10% Off Category Feature
2022-03-12,STORE_1,SKU_01,1,1.05,5% Off Weekly Special
2022-03-13,STORE_1,SKU_01,0,1.0,None
2022-03-14,STORE_1,SKU_01,0,1.0,None
2022-03-15,STORE_1,SKU_01,0,1.0,None
2022-03-16,STORE_1,SKU_01,0,1.0,None
