store_id,sku_id,2023-01-01,2023-01-02,2023-01-03,2023-01-04,2023-01-05
STORE_1,SKU_01,12,15,10,,14
STORE_1,SKU_02,5,8,3,6,7
STORE_1,SKU_03,20,22,25,18,19
STORE_1,SKU_04,0,2,,1,3
STORE_1,SKU_05,7,7,8,10,9
STORE_1,SKU_06,14,12,11,15,13
STORE_1,SKU_07,3,4,2,5,3
STORE_1,SKU_08,9,11,8,7,10
STORE_1,SKU_09,18,16,14,19,20
STORE_1,SKU_10,2,3,1,4,2
STORE_2,SKU_01,10,11,13,9,12
STORE_2,SKU_02,6,4,5,7,8
STORE_2,SKU_03,15,17,16,14,18
STORE_2,SKU_04,3,1,2,0,2
STORE_2,SKU_05,8,9,7,6,10
STORE_2,SKU_06,11,10,12,13,14
STORE_2,SKU_07,4,5,3,4,6
STORE_2,SKU_08,7,8,9,6,7
STORE_2,SKU_09,14,15,13,16,17
STORE_2,SKU_10,1,2,3,1,2
STORE_3,SKU_01,14,13,12,15,16
STORE_3,SKU_02,7,9,6,8,10
STORE_3,SKU_03,22,20,19,23,21
STORE_3,SKU_04,2,3,1,2,4
STORE_3,SKU_05,9,10,8,11,9
STORE_3,SKU_06,13,15,14,12,16
STORE_3,SKU_07,5,4,6,3,5
STORE_3,SKU_08,10,9,11,8,12
STORE_3,SKU_09,17,18,16,19,21
STORE_3,SKU_10,3,1,2,4,3
STORE_4,SKU_01,8,9,11,10,12
STORE_4,SKU_02,4,5,3,6,4
STORE_4,SKU_03,16,14,18,15,17
STORE_4,SKU_04,1,0,2,1,3
STORE_4,SKU_05,6,7,5,8,6
STORE_4,SKU_06,10,12,9,11,13
STORE_4,SKU_07,2,3,4,2,3
STORE_4,SKU_08,6,7,8,5,6
STORE_4,SKU_09,12,14,11,13,15
STORE_4,SKU_10,2,1,0,3,2
STORE_5,SKU_01,11,12,10,14,13
STORE_5,SKU_02,5,6,7,4,5
STORE_5,SKU_03,19,18,21,17,20
STORE_5,SKU_04,2,1,3,2,1
STORE_5,SKU_05,8,7,9,6,8
STORE_5,SKU_06,12,14,11,13,15
STORE_5,SKU_07,3,5,2,4,3
STORE_5,SKU_08,8,9,7,10,8
STORE_5,SKU_09,15,16,18,14,17
STORE_5,SKU_10,1,3,2,1,4
STORE_EXTRA,SKU_01,99,99,99,99,99
STORE_1,SKU_EXTRA,88,88,88,88,88
